,samplenames,lat,lon
373,STHD_F_Annie-L,34.48331963,150.5106314
374,STHD_F_Arya,34.23208299,150.7436286
375,STHD_F_Beyonce,34.48331963,150.5106314
376,STHD_F_Brienne,34.23208299,150.7436286
377,STHD_F_Bunzi,34.48331963,150.5106314
378,STHD_F_Daenery,34.23208299,150.7436286
379,STHD_F_Falia-F,34.23208299,150.7436286
380,STHD_F_Hapi,34.48331963,150.5106314
381,STHD_F_Liv-NJ,34.23208299,150.7436286
382,STHD_F_Stevie-N,34.48331963,150.5106314
383,STHD_F_Yara,34.23208299,150.7436286
384,STHD_M_Chaac,34.48331963,150.5106314
385,STHD_M_Clegane,34.23208299,150.7436286
386,STHD_M_Gendry,34.23208299,150.7436286
387,STHD_M_Jimmy-B,34.48331963,150.5106314
388,STHD_M_Qyburn,34.23208299,150.7436286
389,STHD_M_Rhaegar,34.23208299,150.7436286
390,STHD_M_St-james,34.23208299,150.7436286
391,STHD_M_Varys,34.23208299,150.7436286
392,STHD_M_Walter,34.48331963,150.5106314
393,Sunshine_Coast_M_76877,26.5378125,152.9149312
394,Sunshine_Coast_M_79598,26.5378125,152.9149312
395,Sunshine_Coast_M_79817,26.5378125,152.9149312
396,Sunshine_Coast_M_86054,26.5378125,152.9149312
397,SW_Sydney_M_Biya,34.09250249,150.8402106
398,SW_Sydney_M_Dalang,34.09250249,150.8402106
399,SW_Sydney_M_Giloa,34.09250249,150.8402106
400,SW_Sydney_M_Kimber,34.09250249,150.8402106
401,SW_Sydney_M_Mirribi,34.09250249,150.8402106
402,SW_Sydney_M_Yung,34.09250249,150.8402106
403,SWSyd_F_M48896,34.1158333,151.0616667
404,TarZoo_F_B20093,NA,NA
405,TarZoo_F_B80238,NA,NA
406,TarZoo_M_B60339,NA,NA
407,TarZoo_M_B70170,NA,NA
408,Tenterfield_M_61949,29.0575678,152.0189859
409,Toowoomba_F_55522,27.40462886,151.844543
410,Toowoomba_F_58076,27.40462886,151.844543
411,Toowoomba_F_58264,27.40462886,151.844543
412,Toowoomba_F_70978,27.40462886,151.844543
413,Toowoomba_F_74526,27.40462886,151.844543
414,Toowoomba_F_79192,27.40462886,151.844543
415,Toowoomba_F_79193,27.40462886,151.844543
416,Toowoomba_F_79503,27.40462886,151.844543
417,Toowoomba_F_86343,27.40462886,151.844543
418,Toowoomba_F_87937,27.40462886,151.844543
419,Toowoomba_F_92545,27.40462886,151.844543
420,Toowoomba_M_72310,27.40462886,151.844543
421,Tweed_Heads_F_M50445,28.35668297,153.4709446
422,Tweed_Heads_M_53390,28.35668297,153.4709446
423,Tweed_Heads_M_57043,28.35668297,153.4709446
424,Western_Downs_F_55372,27.15741415,150.9023489
425,Western_Downs_F_70143,27.15741415,150.9023489
426,Western_Downs_F_70719,27.15741415,150.9023489
427,Western_Downs_F_82321,27.15741415,150.9023489
428,Western_Downs_M_70754,27.15741415,150.9023489
429,Western_Downs_M_75384,27.15741415,150.9023489
430,Wollemi_NP_U_M50543_001,33.5166667,149.25
